row_id,vehicle_count,traffic_density,average_speed,road_length,hour,day_of_week,weather,road_capacity,congestion_score,congestion_level
37,602,78.59,40.9,7.66,21,0,rain,1696,41.0,medium
38,306,96.53,52.8,3.17,21,4,clear,953,26.0,medium
39,608,113.22,49.5,5.37,6,3,clear,2557,23.99,low
40,850,122.83,37.4,6.92,9,1,fog,2431,34.97,medium
41,1415,359.14,35.6,3.94,19,3,clear,2368,56.38,high
42,415,406.86,42.8,1.02,0,1,clear,1084,34.57,medium
43,387,148.28,45.9,2.61,9,1,clear,914,42.5,medium
44,648,354.1,44.3,1.83,23,3,clear,1475,38.52,medium
45,1750,250.0,28.1,7.0,17,0,rain,2487,60.76,high
46,1327,182.53,39.8,7.27,22,0,clear,2621,48.27,medium
47,273,86.39,47.8,3.16,16,3,clear,875,29.01,medium
48,375,97.15,40.5,3.86,19,2,clear,943,40.67,medium
49,907,975.27,25.7,0.93,6,4,fog,2009,55.83,high
50,656,417.83,47.1,1.57,22,4,clear,1550,34.34,medium
51,1528,351.26,31.1,4.35,17,2,rain,2340,61.11,high
52,517,104.66,36.8,4.94,21,3,clear,1016,37.86,medium
53,257,68.35,46.0,3.76,6,2,clear,838,22.5,low
54,1510,281.19,22.9,5.37,19,3,rain,1694,75.16,severe
55,232,35.58,50.2,6.52,23,0,clear,933,23.86,low
56,452,61.16,38.8,7.39,14,4,clear,1002,39.37,medium
57,341,405.95,42.9,0.84,0,4,rain,1270,31.25,medium
58,364,106.74,41.0,3.41,20,1,clear,889,36.87,medium
59,259,172.67,59.0,1.5,16,0,clear,1724,4.09,low
60,911,523.56,26.9,1.74,1,1,fog,1676,55.96,high
61,1488,191.51,24.5,7.77,10,4,rain,2040,73.76,high
62,593,104.22,42.7,5.69,2,6,clear,1317,46.55,medium
63,1752,733.05,35.1,2.39,9,1,clear,2701,56.82,high
64,2112,381.23,24.8,5.54,7,1,clear,2374,80.55,severe
65,942,191.46,40.0,4.92,4,5,fog,2648,33.34,medium
66,482,317.11,51.8,1.52,13,1,rain,2950,19.08,low
67,1231,354.76,32.1,3.47,19,0,clear,2158,53.66,high
68,1432,460.45,21.1,3.11,23,4,storm,2900,55.96,high
69,212,137.66,55.4,1.54,22,6,clear,2794,3.37,low
70,421,235.2,46.2,1.79,2,2,clear,1471,26.51,medium
71,576,101.41,48.9,5.68,13,1,clear,2553,22.2,low
72,440,170.54,46.8,2.58,10,6,clear,1136,32.61,medium
73,51,52.58,59.4,0.97,22,5,clear,1164,0.23,low
74,889,683.85,31.4,1.3,22,5,rain,2331,37.97,medium
75,380,324.79,51.6,1.17,9,6,clear,2054,8.71,low
76,2216,1926.96,18.0,1.15,9,2,clear,1969,95.63,severe
77,1048,207.11,33.8,5.06,8,4,clear,2105,47.86,medium
78,1247,384.88,40.2,3.24,0,4,clear,2533,45.06,medium
79,625,257.2,34.3,2.43,10,3,clear,917,61.39,high
80,543,79.97,52.3,6.79,14,2,clear,2258,21.55,low
81,1514,311.52,28.3,4.86,0,1,rain,2373,55.67,high
82,1317,336.83,30.6,3.91,10,2,clear,1489,74.28,high
83,1225,302.47,40.3,4.05,4,0,rain,2794,42.4,medium
84,343,96.35,37.0,3.56,16,4,rain,1035,35.43,medium
85,1772,1024.28,28.9,1.73,7,2,rain,2651,66.48,high
86,1734,308.54,25.2,5.62,3,0,fog,2936,59.74,high
87,656,292.86,47.8,2.24,0,6,clear,1792,22.88,low
88,252,33.38,53.3,7.55,7,2,clear,997,23.08,low
89,865,108.4,20.1,7.98,19,5,fog,1219,71.17,high
90,418,59.04,39.8,7.08,3,5,rain,1316,37.48,medium
91,275,466.1,52.2,0.59,4,4,clear,929,32.62,medium
92,272,35.37,44.5,7.69,10,2,clear,810,34.51,medium
93,343,48.72,59.7,7.04,12,5,clear,2439,12.36,low
94,443,133.84,39.9,3.31,23,4,rain,1403,33.83,medium
95,349,68.97,49.6,5.06,0,6,clear,1735,21.92,low
96,417,115.51,39.5,3.61,20,1,clear,1374,29.72,medium
97,915,525.86,44.7,1.74,18,5,clear,2790,34.23,medium
98,755,97.92,38.4,7.71,17,4,clear,1648,42.87,medium
99,646,89.23,43.5,7.24,0,4,clear,1751,31.89,medium
100,1083,399.63,50.3,2.71,12,4,clear,2865,25.17,medium
101,1864,619.27,32.9,3.01,5,2,clear,2720,60.78,high
102,2336,297.96,11.6,7.84,9,1,fog,2934,80.04,severe
103,439,351.2,52.3,1.25,7,5,clear,2087,19.59,low
104,294,108.89,52.4,2.7,3,3,rain,1709,10.88,low
105,301,44.73,53.5,6.73,1,2,clear,1195,18.2,low
106,1474,193.69,29.3,7.61,8,1,fog,2690,57.59,high
107,457,100.22,42.1,4.56,16,1,clear,1320,36.16,medium
108,954,640.27,42.5,1.49,21,5,rain,2851,32.66,medium
109,2522,541.2,23.6,4.66,9,3,clear,2881,81.59,severe
110,748,124.87,35.3,5.99,9,5,clear,1445,47.29,medium
111,1064,565.96,41.0,1.88,13,1,clear,2186,42.68,medium
112,1283,217.09,33.9,5.91,20,2,clear,1936,52.42,high
113,390,234.94,45.2,1.66,14,3,clear,1164,40.05,medium
114,1031,244.31,48.7,4.22,8,0,clear,2464,36.94,medium
115,1008,847.06,43.2,1.19,11,2,clear,2436,39.85,medium
116,511,82.55,41.9,6.19,14,3,clear,1015,47.64,medium
117,2137,989.35,10.4,2.16,7,0,fog,2091,97.17,severe
118,412,144.56,42.5,2.85,22,1,clear,1049,35.47,medium
119,593,651.65,50.8,0.91,22,4,clear,1789,16.95,low
120,102,14.29,55.8,7.14,6,0,rain,1921,11.59,low
121,208,34.49,47.2,6.03,23,0,clear,1720,17.78,low
122,529,75.25,46.4,7.03,11,5,clear,1538,28.81,medium
123,2381,302.16,17.9,7.88,20,3,clear,2571,78.84,severe
124,1266,316.5,40.9,4.0,4,0,clear,2850,43.31,medium
125,1597,430.46,31.8,3.71,15,0,fog,2798,50.06,high
126,1169,479.1,34.1,2.44,11,2,fog,2908,42.06,medium
127,724,323.21,42.1,2.24,12,1,clear,1571,43.18,medium
128,714,211.24,33.7,3.38,20,2,clear,1025,62.3,high
129,820,236.31,45.4,3.47,19,1,clear,2714,30.34,medium
130,523,115.45,53.0,4.53,2,5,clear,1692,23.69,low
131,1770,2298.7,12.5,0.77,8,2,storm,2155,82.16,severe
132,516,87.02,50.0,5.93,1,3,clear,2074,25.19,medium
133,496,120.98,44.3,4.1,4,4,fog,2124,25.57,medium
134,1059,423.6,45.8,2.5,23,1,clear,2796,37.34,medium
135,1007,179.82,48.1,5.6,15,0,clear,2516,36.56,medium
136,486,121.8,40.0,3.99,6,4,fog,1625,37.2,medium
137,775,151.07,42.7,5.13,11,6,clear,2348,34.74,medium
138,851,323.57,37.2,2.63,23,4,rain,2149,37.72,medium
139,452,60.03,36.7,7.53,14,5,rain,1077,39.41,medium
140,492,159.22,48.7,3.09,16,3,clear,1685,27.56,medium
141,839,126.36,48.2,6.64,6,4,clear,2926,21.07,low
142,238,53.48,51.3,4.45,3,0,clear,838,26.09,medium
143,895,118.07,35.4,7.58,19,5,clear,1788,44.57,medium
144,346,155.86,56.3,2.22,2,2,clear,1733,15.5,low
145,1772,1501.69,36.3,1.18,7,3,clear,2480,51.94,high
146,1187,1604.05,38.9,0.74,6,2,rain,2763,40.26,medium
147,772,327.12,43.3,2.36,13,6,clear,2059,32.74,medium
148,848,226.13,43.2,3.75,21,5,clear,2167,40.65,medium
149,444,72.55,41.5,6.12,5,0,clear,1013,40.12,medium
150,411,65.03,49.4,6.32,21,5,clear,1513,22.43,low
151,532,93.83,19.3,5.67,6,1,storm,889,64.53,high
152,1048,732.87,47.6,1.43,22,3,clear,2794,38.36,medium
153,2519,485.36,8.9,5.19,8,1,fog,2513,100.0,severe
154,577,148.33,38.4,3.89,10,3,clear,821,57.39,high
155,452,149.17,49.9,3.03,12,2,clear,1549,23.18,low
156,988,167.74,46.2,5.89,22,2,clear,2789,34.15,medium
157,313,78.84,55.4,3.97,21,6,clear,1702,18.67,low
158,2618,418.21,13.2,6.26,19,4,clear,2187,100.0,severe
159,845,131.01,32.3,6.45,1,3,fog,2241,34.79,medium
160,1142,190.33,42.0,6.0,2,4,clear,2868,38.17,medium
161,835,235.88,52.0,3.54,12,0,clear,2651,33.27,medium
162,2523,722.92,29.1,3.49,19,1,clear,2840,74.57,high
163,1253,323.77,41.6,3.87,9,2,clear,2793,36.02,medium
164,1181,370.22,10.8,3.19,7,2,fog,1375,90.7,severe
165,813,115.98,44.4,7.01,23,3,clear,2190,33.0,medium
166,1013,134.71,40.6,7.52,17,5,clear,2116,46.88,medium
167,398,72.36,47.9,5.5,23,6,clear,1718,24.84,low
168,868,156.68,40.4,5.54,22,1,clear,1814,45.48,medium
169,438,695.24,44.3,0.63,22,6,fog,2793,19.49,low
170,252,44.44,53.2,5.67,16,3,clear,1144,14.46,low
171,987,195.83,40.6,5.04,4,0,clear,1809,46.3,medium
172,735,556.82,33.3,1.32,15,4,rain,1288,52.85,high
173,766,109.12,27.0,7.02,1,1,fog,1650,45.4,medium
174,687,145.24,35.3,4.73,6,0,clear,1510,48.45,medium
175,1091,274.12,38.2,3.98,2,3,clear,1761,52.97,high
176,713,540.15,42.0,1.32,15,1,clear,1977,33.65,medium
177,367,83.22,45.7,4.41,10,6,rain,1690,23.87,low
178,315,100.32,43.7,3.14,18,6,clear,940,35.49,medium
179,684,195.43,45.8,3.5,2,1,clear,2481,26.65,medium
180,497,205.37,39.7,2.42,11,1,rain,1244,39.01,medium
181,1534,306.19,39.6,5.01,23,4,clear,2988,46.3,medium
182,633,349.72,27.9,1.81,8,1,clear,809,64.35,high
183,429,68.64,35.1,6.25,3,1,rain,945,39.72,medium
184,253,62.47,55.5,4.05,4,6,clear,2049,8.09,low
185,854,172.18,39.6,4.96,10,1,clear,1900,48.22,medium
186,820,267.97,39.4,3.06,21,4,rain,1798,44.95,medium
187,494,68.52,49.0,7.21,12,5,clear,2564,16.14,low
188,909,139.85,34.6,6.5,8,6,clear,1755,40.98,medium
189,649,118.86,40.2,5.46,2,5,rain,1995,39.58,medium
190,779,148.1,49.9,5.26,7,5,clear,2668,16.15,low
191,518,65.24,30.7,7.94,22,3,storm,1429,43.14,medium
192,822,133.44,33.3,6.16,20,3,clear,1255,54.92,high
193,683,298.25,54.2,2.29,1,0,clear,2810,20.07,low
194,437,255.56,48.5,1.71,22,1,clear,1110,25.33,medium
195,519,99.62,50.4,5.21,11,6,clear,1393,31.92,medium
196,274,93.84,47.8,2.92,2,6,clear,872,20.22,low
197,524,77.98,47.9,6.72,13,0,clear,1621,28.22,medium
198,723,478.81,39.2,1.51,5,0,rain,1763,38.82,medium
199,816,316.28,41.9,2.58,12,6,clear,2481,37.1,medium
200,1097,265.62,27.7,4.13,18,4,rain,1441,64.52,high
201,1076,587.98,33.0,1.83,20,0,rain,1682,63.67,high
202,1456,520.0,40.4,2.8,7,0,clear,2203,50.6,high
203,758,414.21,48.3,1.83,6,2,clear,2349,28.03,medium
204,438,178.78,49.8,2.45,22,1,clear,1541,19.08,low
205,1724,223.9,35.9,7.7,20,1,clear,2820,50.95,high
206,749,180.05,36.4,4.16,20,3,clear,1428,39.3,medium
207,1247,162.58,43.5,7.67,19,4,clear,2868,35.76,medium
208,2010,773.08,26.5,2.6,8,0,rain,2876,65.6,high
209,724,100.98,26.9,7.17,7,2,clear,878,75.31,severe
210,348,59.28,48.2,5.87,7,4,clear,886,38.2,medium
211,565,122.29,46.8,4.62,6,2,clear,2084,25.0,low
212,243,46.91,40.1,5.18,15,3,fog,1159,25.75,medium
213,281,68.7,49.5,4.09,13,0,clear,1177,24.71,low
214,836,166.87,40.2,5.01,3,3,clear,1569,49.35,medium
215,1202,240.88,34.9,4.99,10,1,clear,1735,52.53,high
216,1152,817.02,43.1,1.41,17,5,clear,2803,38.44,medium
217,1201,194.97,37.6,6.16,16,3,fog,2996,38.7,medium
218,1204,657.92,35.3,1.83,7,5,rain,2559,44.91,medium
219,893,208.16,39.9,4.29,14,3,rain,2286,40.29,medium
220,1369,501.47,20.2,2.73,10,4,clear,1314,97.99,severe
221,1282,211.55,41.7,6.06,14,1,clear,2976,41.75,medium
222,529,88.17,45.8,6.0,2,1,rain,2228,28.51,medium
223,546,718.42,36.0,0.76,19,3,clear,1113,41.91,medium
224,1139,790.97,32.6,1.44,18,6,clear,1924,56.72,high
225,427,244.0,49.7,1.75,21,6,clear,2885,8.87,low
226,363,165.75,47.5,2.19,6,3,clear,1135,38.69,medium
227,1129,696.91,43.5,1.62,18,6,clear,2701,42.74,medium
228,1006,267.55,46.0,3.76,12,3,clear,2960,36.84,medium
229,2025,1125.0,15.3,1.8,10,0,fog,2636,76.06,severe
230,1295,383.14,32.2,3.38,14,5,storm,2971,38.77,medium
231,591,103.14,49.9,5.73,12,2,clear,2828,14.48,low
232,599,145.39,43.4,4.12,4,3,rain,1503,42.84,medium
233,782,524.83,50.4,1.49,5,0,clear,2651,24.75,low
234,764,920.48,39.7,0.83,3,4,clear,1675,41.81,medium
235,1896,1135.33,22.5,1.67,9,0,rain,2379,72.58,high
236,921,257.26,34.4,3.58,10,0,clear,1489,57.09,high
237,426,82.24,47.4,5.18,14,6,clear,1695,26.34,medium
238,417,82.41,49.0,5.06,16,2,clear,1652,21.46,low
239,630,80.25,34.9,7.85,9,0,fog,1392,35.09,medium
240,322,290.09,45.9,1.11,6,5,clear,2433,14.52,low
241,942,971.13,31.0,0.97,15,2,rain,1387,62.27,high
242,2002,473.29,28.7,4.23,9,2,clear,2654,71.64,high
243,812,354.59,34.4,2.29,14,4,rain,1581,48.62,medium
244,650,163.32,52.6,3.98,16,6,clear,2583,22.51,low
245,493,250.25,35.4,1.97,17,2,rain,1106,40.58,medium
246,902,259.94,41.4,3.47,8,3,clear,1704,50.28,high
247,463,179.46,41.2,2.58,6,2,clear,1082,37.29,medium
248,424,111.58,42.6,3.8,4,3,rain,1412,30.49,medium
249,381,92.03,31.1,4.14,13,6,storm,1374,38.56,medium
250,290,197.28,49.7,1.47,5,1,clear,1046,22.46,low
251,211,31.78,57.5,6.64,2,4,clear,1064,16.53,low
252,741,188.07,39.7,3.94,11,0,clear,2187,31.87,medium
253,957,765.6,39.5,1.25,15,4,clear,2041,41.43,medium
254,2204,432.16,13.9,5.1,8,2,clear,2137,96.96,severe
255,1089,370.41,42.8,2.94,2,0,clear,2753,37.09,medium
256,270,34.01,37.2,7.94,6,5,fog,923,29.5,medium
257,1889,268.71,29.1,7.03,20,4,rain,2819,66.8,high
258,633,475.94,32.0,1.33,17,2,fog,2266,24.86,low
259,487,133.06,43.1,3.66,13,2,clear,1080,37.23,medium
260,573,87.61,46.3,6.54,13,2,rain,2098,23.82,low
261,774,552.86,41.8,1.4,14,3,clear,1733,39.49,medium
262,1802,269.76,40.0,6.68,8,0,clear,2936,48.17,medium
263,208,32.2,55.8,6.46,23,6,clear,1885,14.47,low
264,613,138.06,51.0,4.44,4,3,clear,2844,15.64,low
265,767,119.47,52.5,6.42,21,4,clear,2611,28.75,medium
266,446,82.75,42.7,5.39,3,5,rain,1378,40.47,medium
267,725,906.25,48.8,0.8,5,5,clear,2736,25.37,medium
268,1521,369.17,31.4,4.12,9,0,clear,2444,58.19,high
269,352,52.15,51.6,6.75,5,0,clear,2013,19.54,low
270,594,136.55,43.7,4.35,6,4,clear,1503,32.7,medium
271,528,74.79,37.3,7.06,8,0,clear,982,46.38,medium
272,704,96.31,38.2,7.31,0,3,rain,1383,50.22,high
273,432,61.98,39.8,6.97,6,3,rain,1319,35.33,medium
274,352,107.65,39.5,3.27,3,5,rain,1219,32.51,medium
275,1451,290.78,37.3,4.99,8,1,clear,2666,48.18,medium
276,594,594.0,44.5,1.0,5,2,rain,2428,24.74,low
277,909,1095.18,47.5,0.83,2,2,clear,2798,24.88,low
278,590,85.63,49.1,6.89,22,0,clear,2261,28.19,medium
279,723,149.38,44.3,4.84,11,1,clear,1979,34.35,medium
280,666,115.03,50.7,5.79,10,1,clear,1941,24.25,low
281,846,1226.09,51.0,0.69,23,0,clear,2610,32.77,medium
282,557,112.07,36.2,4.97,10,6,clear,925,54.16,high
283,1135,152.55,38.7,7.44,12,3,clear,2837,32.85,medium
284,353,132.21,47.2,2.67,5,2,clear,1044,31.03,medium
285,627,81.32,26.1,7.71,8,0,clear,858,63.6,high
286,1165,255.48,44.4,4.56,3,4,clear,2732,30.45,medium
287,324,105.54,42.7,3.07,12,2,clear,1140,31.54,medium
288,823,124.13,41.0,6.63,23,4,clear,1934,35.68,medium
289,529,88.46,32.3,5.98,21,0,rain,964,51.92,high
290,1136,146.96,35.4,7.73,4,3,fog,2846,44.58,medium
291,637,684.95,34.1,0.93,20,5,rain,1275,50.54,high
292,279,56.71,43.4,4.92,11,3,rain,1381,25.0,medium
293,661,91.68,42.9,7.21,14,2,clear,2514,20.11,low
294,447,58.28,49.0,7.67,14,6,clear,1702,28.55,medium
295,1156,299.48,40.4,3.86,7,2,clear,2146,48.29,medium
296,655,110.64,50.9,5.92,15,1,clear,2549,18.65,low
297,275,61.66,52.3,4.46,1,0,clear,1495,15.3,low
298,407,66.18,46.2,6.15,4,0,clear,940,39.55,medium
299,434,401.85,47.1,1.08,1,6,clear,1601,24.85,low
300,995,956.73,47.7,1.04,2,2,clear,2815,29.04,medium
301,464,79.59,35.8,5.83,22,1,rain,1249,40.65,medium
302,592,79.25,47.8,7.47,1,6,clear,2038,20.27,low
303,1230,582.94,25.9,2.11,8,5,storm,2356,50.2,high
304,1049,1008.65,38.8,1.04,9,1,rain,2389,43.24,medium
305,638,86.45,44.0,7.38,21,5,clear,2028,28.72,medium
306,536,211.02,42.1,2.54,1,1,rain,1898,30.96,medium
307,530,77.94,40.3,6.8,17,5,rain,1911,33.77,medium
308,817,119.79,23.1,6.82,10,0,clear,936,82.95,severe
309,487,115.95,43.4,4.2,15,3,rain,1270,29.83,medium
310,171,70.95,52.3,2.41,23,6,clear,822,19.94,low
311,919,172.42,46.8,5.33,8,4,clear,2546,31.37,medium
312,1312,249.43,39.8,5.26,8,2,clear,2481,53.6,high
313,910,169.78,31.2,5.36,8,0,fog,1751,50.12,high
314,483,139.6,44.8,3.46,3,1,rain,1739,25.73,medium
315,387,60.75,40.3,6.37,2,4,clear,917,39.8,medium
316,1059,155.96,44.0,6.79,9,5,clear,2615,38.98,medium
317,779,961.73,38.9,0.81,19,4,clear,1539,52.24,high
318,565,392.36,52.5,1.44,15,6,clear,2795,18.31,low
319,2181,458.19,26.0,4.76,19,0,clear,2351,82.46,severe
320,359,71.09,44.0,5.05,18,0,clear,1024,33.73,medium
321,794,835.79,45.8,0.95,1,1,clear,1902,43.41,medium
322,1577,198.87,36.3,7.93,7,0,clear,2647,48.51,medium
323,146,21.31,55.6,6.85,11,6,clear,825,14.83,low
324,540,90.91,32.9,5.94,10,2,rain,1015,52.59,high
325,1385,382.6,34.7,3.62,19,3,clear,2389,58.24,high
326,1764,447.72,34.7,3.94,20,5,clear,2732,54.49,high
327,1244,538.53,30.2,2.31,10,4,clear,1662,68.62,high
328,1550,1476.19,38.0,1.05,10,4,clear,2806,51.37,high
329,1042,441.53,39.4,2.36,22,4,fog,2819,40.88,medium
330,655,130.48,26.0,5.02,19,1,rain,885,74.28,high
331,1063,871.31,35.5,1.22,20,1,clear,1743,52.99,high
332,426,122.41,47.7,3.48,12,4,clear,2261,20.33,low
333,262,33.0,44.7,7.94,16,6,clear,1073,31.18,medium
334,351,47.5,32.4,7.39,0,1,fog,953,37.95,medium
335,868,233.96,36.9,3.71,3,4,rain,1746,44.46,medium
336,928,122.11,49.7,7.6,12,3,clear,2838,27.53,medium
337,541,224.48,41.0,2.41,14,1,clear,1020,40.13,medium
338,447,438.24,48.1,1.02,13,3,clear,1274,35.57,medium
339,689,109.37,35.9,6.3,7,6,clear,1793,43.94,medium
340,1287,374.13,30.0,3.44,20,3,clear,1380,79.59,severe
341,308,138.12,51.5,2.23,9,6,clear,1011,28.86,medium
342,311,43.07,50.9,7.22,4,4,clear,1105,21.78,low
343,703,203.77,35.0,3.45,15,2,storm,1845,43.09,medium
344,1107,632.57,42.8,1.75,22,6,rain,2879,29.16,medium
345,1756,302.24,33.4,5.81,20,4,clear,2656,61.37,high
346,523,80.09,49.1,6.53,1,6,rain,2714,21.51,low
347,494,83.03,45.5,5.95,20,2,clear,1360,35.35,medium
348,715,210.29,48.8,3.4,2,1,clear,2367,28.69,medium
349,850,184.78,45.5,4.6,1,4,clear,1701,42.39,medium
350,1154,151.05,24.1,7.64,5,4,storm,2306,55.3,high
351,452,106.1,50.5,4.26,11,6,clear,1682,22.83,low
352,608,257.63,36.8,2.36,17,6,fog,2033,31.07,medium
353,539,152.69,50.5,3.53,5,0,clear,2747,11.66,low
354,1160,568.63,39.5,2.04,18,5,clear,2273,47.03,medium
355,802,312.06,48.8,2.57,21,4,clear,2615,26.87,medium
356,688,87.76,47.9,7.84,9,0,clear,2148,28.86,medium
357,520,126.21,50.2,4.12,6,2,clear,2945,13.24,low
358,1393,280.28,22.7,4.97,9,5,storm,2762,54.41,high
359,957,402.1,36.9,2.38,20,1,rain,1957,51.93,high
360,690,381.22,34.2,1.81,8,2,clear,1212,46.97,medium
361,573,117.66,38.2,4.87,12,3,clear,1100,40.87,medium
362,712,372.77,49.7,1.91,0,1,clear,2893,23.64,low
363,317,83.64,40.3,3.79,14,6,rain,872,29.2,medium
364,1815,1525.21,21.9,1.19,8,1,rain,2316,71.11,high
365,211,57.18,51.6,3.69,15,1,clear,860,15.98,low
366,953,140.35,45.0,6.79,15,1,clear,2326,36.48,medium
367,796,132.01,40.2,6.03,13,2,clear,1814,40.77,medium
368,1049,161.38,13.5,6.5,9,0,fog,1189,83.33,severe
369,2797,658.12,15.8,4.25,10,2,rain,2841,89.1,severe
370,1251,250.7,30.6,4.99,17,1,clear,1962,57.44,high
371,706,1196.61,40.3,0.59,14,0,rain,1773,37.09,medium
372,2081,341.15,32.6,6.1,20,4,clear,2868,64.07,high
373,544,172.7,36.3,3.15,9,6,clear,860,55.11,high
374,644,150.12,44.6,4.29,4,3,clear,2000,30.94,medium
375,658,97.05,21.6,6.78,21,0,fog,886,73.61,high
376,644,179.89,54.1,3.58,21,0,clear,2500,9.94,low
377,498,77.57,41.3,6.42,22,4,rain,1445,26.12,medium
378,205,88.74,52.8,2.31,16,5,clear,1298,24.36,low
379,294,97.35,48.3,3.02,13,6,clear,946,27.76,medium
380,484,86.58,28.8,5.59,8,6,rain,818,65.96,high
381,966,228.91,43.9,4.22,15,6,clear,2256,37.84,medium
382,369,66.01,50.6,5.59,16,6,clear,1104,24.47,low
383,2483,349.23,12.1,7.11,20,2,rain,2203,100.0,severe
384,788,203.09,43.5,3.88,21,0,clear,2022,35.17,medium
385,916,1477.42,42.1,0.62,20,5,clear,2055,37.8,medium
386,608,132.46,39.2,4.59,14,0,rain,1531,39.37,medium
387,1656,1607.77,39.9,1.03,19,4,clear,2674,56.65,high
388,1260,2250.0,39.5,0.56,3,2,clear,2943,39.41,medium
389,653,653.0,47.4,1.0,1,4,clear,1871,36.55,medium
390,919,209.34,41.5,4.39,4,4,clear,2303,42.8,medium
391,441,128.57,41.2,3.43,6,3,clear,1019,36.94,medium
392,996,144.56,29.9,6.89,2,4,rain,1603,55.55,high
393,193,67.72,57.1,2.85,10,5,clear,1415,10.37,low
394,565,84.83,42.5,6.66,11,2,clear,1170,46.26,medium
395,666,227.3,38.4,2.93,14,2,fog,2908,24.39,low
396,1153,211.17,36.7,5.46,13,4,rain,2409,42.37,medium
397,730,447.85,19.8,1.63,19,1,rain,1003,70.01,high
398,2413,438.73,16.5,5.5,20,2,rain,2637,88.49,severe
399,1367,235.69,34.1,5.8,7,4,rain,2005,55.97,high
400,569,79.14,50.7,7.19,15,4,clear,1811,22.52,low
401,514,99.23,49.3,5.18,22,6,clear,1314,39.75,medium
402,1205,352.34,14.7,3.42,18,2,rain,1372,83.3,severe
403,772,98.22,49.4,7.86,4,6,clear,2484,30.6,medium
404,721,103.3,38.4,6.98,13,2,fog,2390,32.63,medium
405,581,110.25,42.1,5.27,21,1,clear,1632,35.36,medium
406,184,24.15,50.5,7.62,11,5,clear,892,18.47,low
407,215,61.25,45.5,3.51,7,5,rain,889,23.36,low
408,1272,345.65,30.3,3.68,10,3,clear,1852,64.26,high
409,975,494.92,20.0,1.97,6,4,storm,1751,62.96,high
410,1650,228.22,35.1,7.23,8,2,clear,2628,54.33,high
411,647,567.54,37.0,1.14,22,3,rain,1724,37.06,medium
412,123,49.0,52.8,2.51,11,1,clear,849,11.29,low
413,1419,211.79,25.8,6.7,7,4,clear,1883,65.84,high
414,748,243.65,43.6,3.07,3,4,clear,2161,34.72,medium
415,270,52.12,47.5,5.18,4,5,rain,2743,13.04,low
416,242,41.3,49.9,5.86,22,6,clear,1624,18.0,low
417,231,275.0,46.1,0.84,11,0,fog,2094,10.52,low
418,1460,362.28,35.2,4.03,8,3,clear,1905,62.84,high
419,1024,262.56,43.0,3.9,15,1,clear,2630,37.13,medium
420,926,213.86,32.1,4.33,12,4,storm,2052,44.48,medium
421,1214,175.69,33.1,6.91,6,0,rain,2245,50.42,high
422,330,125.0,52.0,2.64,2,4,clear,1519,24.08,low
